speciesdatacode,speciescode,scientific_name,Database_ID
Lycopersicum esculentum,SOLY2,Solanum lycopersicum L.,USDA_Plants
Quercus pubescens,kew-174591,Quercus pubescens Willd.,ThePlantList
Acer pseudoplatanus L.,ACPS,Acer pseudoplatanus L.,USDA_Plants
Alnus glutinosa L.,ALGL2,Alnus glutinosa (L.) Gaertn.,USDA_Plants
Bambusa arundinacea,BAAR8,Bambusa arundinacea (Retz.) Willd.,USDA_Plants
Beta vulgaris L.,BEVU2,Beta vulgaris L.,USDA_Plants
Betula pendula,BEPE3,Betula pendula Roth,USDA_Plants
Brassica oleracea L.,BROL,Brassica oleracea L.,USDA_Plants
Castanea sativa,CASA27,Castanea sativa Mill.,USDA_Plants
Chamaerops humilis L.,CHHU7,Chamaerops humilis L.,USDA_Plants
Corylus avellana L.,COAV80,Corylus avellana L.,USDA_Plants
Ensete ventricosum,ENVE2,Ensete ventricosum (Welw.) Cheeseman,USDA_Plants
Fagus sylvatica L.,FASY,Fagus sylvatica L.,USDA_Plants
Ficus carica L.,FICA,Ficus carica L.,USDA_Plants
Fraxinus excelsior L.,FREX80,Fraxinus excelsior L.,USDA_Plants
Glycine max L.,GLMA4,Glycine max (L.) Merr.,USDA_Plants
Hedera helix L.,HEHE,Hedera helix L.,USDA_Plants
Helianthus annuus L.,HEAN3,Helianthus annuus L.,USDA_Plants
Iris germanica L.,IRGE,Iris germanica L.,USDA_Plants
Juglans regia L.,JURE80,Juglans regia L.,USDA_Plants
Lactuca sativa L.,LASA3,Lactuca sativa L.,USDA_Plants
Laurus nobilis L.,LANO80,Laurus nobilis L.,USDA_Plants
Medicago sativa L.,MESA,Medicago sativa L.,USDA_Plants
Morus alba L.,MOAL,Morus alba L.,USDA_Plants
Morus nigra L.,MONI,Morus nigra L.,USDA_Plants
Oryza sativa L.,ORSA,Oryza sativa L.,USDA_Plants
Phleum pratense L.,PHPR3,Phleum pratense L.,USDA_Plants
Phragmites australis,PHAU7,Phragmites australis (Cav.) Trin. ex Steud.,USDA_Plants
Populus tremula L.,POTR10,Populus tremula L.,USDA_Plants
Populus x canadensis,POCA19,Populus ×canadensis Moench (pro sp.) [deltoides × nigra],USDA_Plants
Prunus armeniaca L.,PRAR3,Prunus armeniaca L.,USDA_Plants
Prunus laurocerasus L.,PRLA5,Prunus laurocerasus L.,USDA_Plants
Prunus serotina,PRSE2,Prunus serotina Ehrh.,USDA_Plants
Quercus rubra L.,QURU,Quercus rubra L.,USDA_Plants
Robinia pseudoacacia L.,ROPS,Robinia pseudoacacia L.,USDA_Plants
Salix alba L.,SAAL2,Salix alba L.,USDA_Plants
Salvia officinalis L.,SAOF2,Salvia officinalis L.,USDA_Plants
Solanum tuberosum L.,SOTU,Solanum tuberosum L.,USDA_Plants
Sorghum halepense L.,SOHA,Sorghum halepense (L.) Pers.,USDA_Plants
Tilia platyphyllos,TIPL,Tilia platyphyllos Scop.,USDA_Plants
Trifolium pratense L.,TRPR2,Trifolium pratense L.,USDA_Plants
Ulmus glabra,ULGL,Ulmus glabra Huds.,USDA_Plants
Urtica dioica L.,URDI,Urtica dioica L.,USDA_Plants
Vitis vinifera L.,VIVI5,Vitis vinifera L.,USDA_Plants
Vitis vinifera L. ssp. Sylvestris,VIVI5,Vitis vinifera L.,USDA_Plants
Zea mays L.,ZEMA,Zea mays L.,USDA_Plants
