TraitName,Description,Unit
leaf_nlayers,Leaf structure parameter from constrained PROSPECT inversion,unitless
leaf_chlorophyll_a,Chlorophyll a concentration (ug cm-2),ug cm-2
leaf_chlorophyll_b,Chlorophyll b concentration (ug cm-2),ug cm-2
leaf_chlorophyll_total,Total Chlorophyll concentration (ug cm-2),ug cm-2
leaf_carotenoid_total,Total Carotenoid concentraiton (ug cm-2),ug cm-2
leaf_anthocyanin_total,Total anthocyanin concentration (ug cm-2),ug cm-2
leaf_water_content,Equivalent water thickness (g m-2),g m-2
leaf_mass_per_area,Leaf dry mass per unit area (g m-2),g m-2
leaf_C_percent,Carbon content (% dry weight),% dry weight
leaf_O_percent,Oxygen content (% dry weight),% dry weight
leaf_H_percent,Hydrogen content (% dry weight),% dry weight
leaf_N_percent,Nitrogen content (% dry weight),% dry weight
leaf_CN_ratio,Carbon-Nitrogen ratio (C %DW / N %DW),unitless
leaf_protein_percent,Protein content (% dry weight),% dry weight
leaf_cellulose_percent,Cellulose content (% dry weight),% dry weight
leaf_lignin_percent,Lignin content (% dry weight),% dry weight
leaf_starch_percent,Starch content (% dry weight),% dry weight
leaf_fiber_percent,Fiber content (% dry weight),% dry weight
leaf_deltaN15,N15 isotope ratio (ppm),ppm
